weight,scope,denominator,threshold,che_variable,subgroup,subgroup_label,subgroup_value,prevalence,prevalence_se
hhs_wt,oop,total,.1,che_oop_tot10,ad_4,Rural,3,.2138494080863498,.0095976498
hhs_wt,oop,total,.1,che_oop_tot10,caste_ethnicity,Hill Caste,11,.1847672553511859,.0090372842
hhs_wt,oop,total,.1,che_oop_tot10,caste_ethnicity,Madhesh/Tarai Caste,12,.2549479905806276,.016399076
hhs_wt,oop,total,.1,che_oop_tot10,caste_ethnicity,Mountain/Hill Janajati,21,.1403557480410559,.0089810556
hhs_wt,oop,total,.1,che_oop_tot10,caste_ethnicity,Tarai Janajati,22,.1207404847943288,.019224757
hhs_wt,oop,total,.1,che_oop_tot10,caste_ethnicity,Hill Dalit,31,.2222508193903708,.01877241
hhs_wt,oop,total,.1,che_oop_tot10,caste_ethnicity,Madhesh/Tarai Dalit,32,.2677533436058466,.035423663
hhs_wt,oop,total,.1,che_oop_tot10,caste_ethnicity,Religions/Linguistic group,40,.2250029055701269,.024265343
hhs_wt,oop,total,.1,che_oop_tot10,caste_ethnicity,Others & Not stated,50,.4817120459535468,.16503365
hhs_wt,oop,total,.1,che_oop_tot10,head_edu_n,No education,0,.2334572741360777,.011146308
hhs_wt,oop,total,.1,che_oop_tot10,head_edu_n,Informal/literate,1,.1825121699588709,.025176965
hhs_wt,oop,total,.1,che_oop_tot10,head_edu_n,Primary (1-5),2,.1874262376802902,.010426303
hhs_wt,oop,total,.1,che_oop_tot10,head_edu_n,Lower secondary (6-8),3,.1678040498325195,.013454048
hhs_wt,oop,total,.1,che_oop_tot10,head_edu_n,Secondary (9-SLC),4,.1665366735528532,.011075049
hhs_wt,oop,total,.1,che_oop_tot10,head_edu_n,Higher secondary,5,.1304677877464767,.012927839
hhs_wt,oop,total,.1,che_oop_tot10,head_edu_n,Bachelor and above,6,.1283558066757776,.017186148
hhs_wt,oop,total,.1,che_oop_tot10,has_elderly,0,0,.1603182465409877,.0060757161
hhs_wt,oop,total,.1,che_oop_tot10,has_elderly,1,1,.2646040145162482,.012526534
hhs_wt,oop,total,.1,che_oop_tot10,has_disabled_member,0,0,.174747661728273,.0060657728
hhs_wt,oop,total,.1,che_oop_tot10,has_disabled_member,1,1,.3303119140625906,.030403087
hhs_wt,oopg,total,.2,che_oopg_tot20,poor,0,0,.0237911295664533,.0020844506
hhs_wt,oopg,total,.2,che_oopg_tot20,poor,1,1,.0406691518373672,.006621046
hhs_wt,oopg,total,.2,che_oopg_tot20,quintile_pcep,1 (poorest),1,.041205526205831,.0067087049
hhs_wt,oopg,total,.2,che_oopg_tot20,quintile_pcep,2,2,.0370224499506966,.005468125
hhs_wt,oopg,total,.2,che_oopg_tot20,quintile_pcep,3,3,.0294221665513199,.0048835455
hhs_wt,oopg,total,.2,che_oopg_tot20,quintile_pcep,4,4,.0204024088130288,.0039013335
hhs_wt,oopg,total,.2,che_oopg_tot20,quintile_pcep,5 (richest),5,.0123175363584194,.0024032996
hhs_wt,oopg,total,.2,che_oopg_tot20,prov,Koshi,1,.0276952212647047,.0046425746
hhs_wt,oopg,total,.2,che_oopg_tot20,prov,Madhesh,2,.0511964024670264,.0095908856
hhs_wt,oopg,total,.2,che_oopg_tot20,prov,Bagmati,3,.0178346557099344,.0035756014
hhs_wt,oopg,total,.2,che_oopg_tot20,prov,Gandaki,4,.0197763399324927,.0038106544
hhs_wt,oopg,total,.2,che_oopg_tot20,prov,Lumbini,5,.0126448055430437,.0036346279
hhs_wt,oopg,total,.2,che_oopg_tot20,prov,Karnali,6,.0386313923093932,.0068119345
hhs_wt,oopg,total,.2,che_oopg_tot20,prov,Sudurpaschim,7,.024782642915101,.0052265469
hhs_wt,oopg,total,.2,che_oopg_tot20,ad_4,Kathmandu,1,.011397330961812,.0053673531
hhs_wt,oopg,total,.2,che_oopg_tot20,ad_4,Other urban,2,.0283710421506232,.0029563447
hhs_wt,oopg,total,.2,che_oopg_tot20,ad_4,Rural,3,.0291476377999652,.0041369158
hhs_wt,oopg,total,.2,che_oopg_tot20,caste_ethnicity,Hill Caste,11,.0240888464660272,.0032779197
hhs_wt,oopg,total,.2,che_oopg_tot20,caste_ethnicity,Madhesh/Tarai Caste,12,.0408476168973203,.0087881545
hhs_wt,oopg,total,.2,che_oopg_tot20,caste_ethnicity,Mountain/Hill Janajati,21,.0190929377747335,.0031015852
hhs_wt,oopg,total,.2,che_oopg_tot20,caste_ethnicity,Tarai Janajati,22,.0198032095862795,.0056495159
hhs_wt,oopg,total,.2,che_oopg_tot20,caste_ethnicity,Hill Dalit,31,.0214586379570986,.0043653548
hhs_wt,oopg,total,.2,che_oopg_tot20,caste_ethnicity,Madhesh/Tarai Dalit,32,.0598469750827302,.014943959
hhs_wt,oopg,total,.2,che_oopg_tot20,caste_ethnicity,Religions/Linguistic group,40,.0445568412091403,.01258172
hhs_wt,oopg,total,.2,che_oopg_tot20,caste_ethnicity,Others & Not stated,50,.0694898010249617,.045331012
hhs_wt,oopg,total,.2,che_oopg_tot20,head_edu_n,No education,0,.0405316379079375,.0048678597
hhs_wt,oopg,total,.2,che_oopg_tot20,head_edu_n,Informal/literate,1,.0242141315294407,.010540784
hhs_wt,oopg,total,.2,che_oopg_tot20,head_edu_n,Primary (1-5),2,.0246336881844492,.0038815395
hhs_wt,oopg,total,.2,che_oopg_tot20,head_edu_n,Lower secondary (6-8),3,.0240862027553738,.0048247231
hhs_wt,oopg,total,.2,che_oopg_tot20,head_edu_n,Secondary (9-SLC),4,.0150261607858875,.0028612488
hhs_wt,oopg,total,.2,che_oopg_tot20,head_edu_n,Higher secondary,5,.0250536195545967,.0061761434
hhs_wt,oopg,total,.2,che_oopg_tot20,head_edu_n,Bachelor and above,6,.0181529935330395,.0096709765
hhs_wt,oopg,total,.2,che_oopg_tot20,has_elderly,0,0,.0256723030852347,.0023656806
hhs_wt,oopg,total,.2,che_oopg_tot20,has_elderly,1,1,.0296676817854744,.0044996915
hhs_wt,oopg,total,.2,che_oopg_tot20,has_disabled_member,0,0,.0255108026279782,.0021077252
hhs_wt,oopg,total,.2,che_oopg_tot20,has_disabled_member,1,1,.0425940359763833,.0095868763
hhs_wt,oop,total,.2,che_oop_tot20,poor,0,0,.0701162248049761,.0039286814
hhs_wt,oop,total,.2,che_oop_tot20,poor,1,1,.117527738551475,.011268439
hhs_wt,oop,total,.2,che_oop_tot20,quintile_pcep,1 (poorest),1,.1178671183543331,.011389636
hhs_wt,oop,total,.2,che_oop_tot20,quintile_pcep,2,2,.0906643767509185,.0079204943
hhs_wt,oop,total,.2,che_oop_tot20,quintile_pcep,3,3,.0816311113979899,.0075551695
hhs_wt,oop,total,.2,che_oop_tot20,quintile_pcep,4,4,.0687960506303496,.0067392341
hhs_wt,oop,total,.2,che_oop_tot20,quintile_pcep,5 (richest),5,.0472574337548658,.004975751
hhs_wt,oop,total,.2,che_oop_tot20,prov,Koshi,1,.0788338287327753,.0085458197
hhs_wt,oop,total,.2,che_oop_tot20,prov,Madhesh,2,.1154149671612117,.018023754
hhs_wt,oop,total,.2,che_oop_tot20,prov,Bagmati,3,.0553004767302293,.0069266437
hhs_wt,oop,total,.2,che_oop_tot20,prov,Gandaki,4,.0573831390142288,.0072995895
hhs_wt,oop,total,.2,che_oop_tot20,prov,Lumbini,5,.0652600854840633,.0079515632
hhs_wt,oop,total,.2,che_oop_tot20,prov,Karnali,6,.0889436250310151,.011310054
hhs_wt,oop,total,.2,che_oop_tot20,prov,Sudurpaschim,7,.1007841116337481,.010183408
hhs_wt,oop,total,.2,che_oop_tot20,ad_4,Kathmandu,1,.0309231529028875,.0080461474
hhs_wt,oop,total,.2,che_oop_tot20,ad_4,Other urban,2,.0766664236797272,.0055343043
hhs_wt,oop,total,.2,che_oop_tot20,ad_4,Rural,3,.0990845074681115,.0073720906
hhs_wt,oop,total,.2,che_oop_tot20,caste_ethnicity,Hill Caste,11,.0815448665956374,.0060096816
hhs_wt,oop,total,.2,che_oop_tot20,caste_ethnicity,Madhesh/Tarai Caste,12,.1225470311833168,.013555855
hhs_wt,oop,total,.2,che_oop_tot20,caste_ethnicity,Mountain/Hill Janajati,21,.0558251479736614,.0053562629
hhs_wt,oop,total,.2,che_oop_tot20,caste_ethnicity,Tarai Janajati,22,.0442002169098591,.0089639062
hhs_wt,oop,total,.2,che_oop_tot20,caste_ethnicity,Hill Dalit,31,.0802042455995667,.009672855
hhs_wt,oop,total,.2,che_oop_tot20,caste_ethnicity,Madhesh/Tarai Dalit,32,.1165907190034654,.019736283
hhs_wt,oop,total,.2,che_oop_tot20,caste_ethnicity,Religions/Linguistic group,40,.0906498739050677,.01539684
hhs_wt,oop,total,.2,che_oop_tot20,caste_ethnicity,Others & Not stated,50,.1389796020499235,.090662025
hhs_wt,oop,total,.2,che_oop_tot20,head_edu_n,No education,0,.1151866394065745,.0078729158
hhs_wt,oop,total,.2,che_oop_tot20,head_edu_n,Informal/literate,1,.0752172635886547,.016341291
hhs_wt,oop,total,.2,che_oop_tot20,head_edu_n,Primary (1-5),2,.0740115025825463,.0066884561
hhs_wt,oop,total,.2,che_oop_tot20,head_edu_n,Lower secondary (6-8),3,.066685281599877,.008010434
hhs_wt,oop,total,.2,che_oop_tot20,head_edu_n,Secondary (9-SLC),4,.0578130045917041,.0059822351
hhs_wt,oop,total,.2,che_oop_tot20,head_edu_n,Higher secondary,5,.0491401308849349,.0081019308
hhs_wt,oop,total,.2,che_oop_tot20,head_edu_n,Bachelor and above,6,.0581238135050803,.013843954
hhs_wt,oop,total,.2,che_oop_tot20,has_elderly,0,0,.0659635069732765,.0040417206
hhs_wt,oop,total,.2,che_oop_tot20,has_elderly,1,1,.1174886914739546,.0086888792
hhs_wt,oop,total,.2,che_oop_tot20,has_disabled_member,0,0,.0704491173935122,.0037740339
hhs_wt,oop,total,.2,che_oop_tot20,has_disabled_member,1,1,.1884761408263557,.02215554
hhs_wt,oopg,nonfood,.25,che_oopg_nf25,poor,0,0,.0440224519849074,.0030343505
hhs_wt,oopg,nonfood,.25,che_oopg_nf25,poor,1,1,.0787145004298251,.0092722373
hhs_wt,oopg,nonfood,.25,che_oopg_nf25,quintile_pcep,1 (poorest),1,.0797526445402758,.0093933586
hhs_wt,oopg,nonfood,.25,che_oopg_nf25,quintile_pcep,2,2,.0642517446747318,.0073096673
hhs_wt,oopg,nonfood,.25,che_oopg_nf25,quintile_pcep,3,3,.0572671415217914,.006554679
hhs_wt,oopg,nonfood,.25,che_oopg_nf25,quintile_pcep,4,4,.0371414946136774,.0051721567
hhs_wt,oopg,nonfood,.25,che_oopg_nf25,quintile_pcep,5 (richest),5,.0241882904816783,.0035216801
hhs_wt,oopg,nonfood,.25,che_oopg_nf25,prov,Koshi,1,.0414941526544482,.0061062267
hhs_wt,oopg,nonfood,.25,che_oopg_nf25,prov,Madhesh,2,.0766581116900559,.012922727
hhs_wt,oopg,nonfood,.25,che_oopg_nf25,prov,Bagmati,3,.0500138723106201,.0061216769
hhs_wt,oopg,nonfood,.25,che_oopg_nf25,prov,Gandaki,4,.0480095123963353,.0070534456
hhs_wt,oopg,nonfood,.25,che_oopg_nf25,prov,Lumbini,5,.0320618006575423,.0058716838
hhs_wt,oopg,nonfood,.25,che_oopg_nf25,prov,Karnali,6,.0480836656079743,.007614505
hhs_wt,oopg,nonfood,.25,che_oopg_nf25,prov,Sudurpaschim,7,.0490260819018144,.0078083361
hhs_wt,oopg,nonfood,.25,che_oopg_nf25,ad_4,Kathmandu,1,.0603884682127187,.01053653
