scope,denominator,threshold,headcount_var,overshoot_var,headcount,concentration_headcount,rank_weighted_headcount,overshoot,concentration_overshoot,rank_weighted_overshoot
oopg,total,5,ch18_oopg_tot5,ch18_over_oopg_tot5,.1506227023066058,-.024726545,.15434708,.0136791582582601,.15892345,.011505219
oopg,total,10,ch18_oopg_tot10,ch18_over_oopg_tot10,.0739960321624281,.045810644,.070606224,.0083972837304894,.25713694,.0062380321
oopg,total,15,ch18_oopg_tot15,ch18_over_oopg_tot15,.0410076002322276,.11393929,.036335222,.0056325691218419,.34672225,.003679632
oopg,total,25,ch18_oopg_tot25,ch18_over_oopg_tot25,.0176489090132706,.28307328,.012652975,.0028957978693132,.50428218,.0014354986
oopg,total,40,ch18_oopg_tot40,ch18_over_oopg_tot40,.0079091793942835,.52595085,.0037493398,.001093543222116,.6689831,.00036198128
oopg,nonfood,15,ch18_oopg_nf15,ch18_over_oopg_nf15,.0973483477058658,-.03539316,.10079382,.0157435015897417,.1300592,.013695914
oopg,nonfood,25,ch18_oopg_nf25,ch18_over_oopg_nf25,.0498121162228454,.04868497,.047387015,.0087432084348115,.22851157,.006745284
oopg,nonfood,40,ch18_oopg_nf40,ch18_over_oopg_nf40,.0216099148970662,.17810594,.017761061,.0036938934511926,.38807046,.0022604025
