scope,denominator,threshold,headcount_var,overshoot_var,headcount,concentration_headcount,rank_weighted_headcount,overshoot,concentration_overshoot,rank_weighted_overshoot
oop,total,5,ch18_oop_tot5,ch18_over_oop_tot5,.3268383454499506,.017856564,.32100213,.0434908927370724,.23544873,.033251017
oop,total,10,ch18_oop_tot10,ch18_over_oop_tot10,.1847377266789791,.078059949,.17031711,.0312296834592561,.31024951,.02154069
oop,total,15,ch18_oop_tot15,ch18_over_oop_tot15,.1144727829743497,.11674373,.1011088,.0239128528229775,.3768968,.014900175
oop,total,25,ch18_oop_tot25,ch18_over_oop_tot25,.0563272021470489,.21714067,.044096276,.0158425787321578,.48838338,.0081053264
oop,total,40,ch18_oop_tot40,ch18_over_oop_tot40,.0277553625980002,.37064439,.017467994,.0099326186970026,.60562521,.0039171744
oop,nonfood,15,ch18_oop_nf15,ch18_over_oop_nf15,.2408529566720289,.0092952698,.23861416,.0702105946933857,.21622103,.055029586
oop,nonfood,25,ch18_oop_nf25,ch18_over_oop_nf25,.1427282041774091,.066160083,.1332853,.0515545186389675,.28213882,.03700899
oop,nonfood,40,ch18_oop_nf40,ch18_over_oop_nf40,.0757128929807179,.15523729,.063959427,.0356708834704193,.36064973,.022806188
