scope,denominator,threshold,headcount_var,overshoot_var,headcount,headcount_se,overshoot,overshoot_se,mpo
oop,total,5,ch18_oop_tot5,ch18_over_oop_tot5,.3268383454499506,.0093964385,.043490894,.0021971962,.13306545
oop,total,10,ch18_oop_tot10,ch18_over_oop_tot10,.1847377266789791,.0063513429,.031229684,.0019636427,.16904876
oop,total,15,ch18_oop_tot15,ch18_over_oop_tot15,.1144727829743497,.0054182392,.023912853,.0017981225,.20889553
oop,total,25,ch18_oop_tot25,ch18_over_oop_tot25,.0563272021470489,.0032822357,.015842579,.0015408637,.28125983
oop,total,40,ch18_oop_tot40,ch18_over_oop_tot40,.0277553625980002,.0021339476,.0099326186,.0013166022,.35786304
oop,nonfood,15,ch18_oop_nf15,ch18_over_oop_nf15,.2408529566720289,.0074341642,.070210598,.0039494312,.29150814
oop,nonfood,25,ch18_oop_nf25,ch18_over_oop_nf25,.1427282041774091,.0054419436,.05155452,.0035293868,.36120763
oop,nonfood,40,ch18_oop_nf40,ch18_over_oop_nf40,.0757128929807179,.0040005799,.035670884,.0031147781,.47113353
