cum_hh_total,oop_share_total,cum_hh_ctp,oop_share_ctp
0.0,4.756014234975665,0.0,7.150912145375478
0.00010274641372093435,4.756014234975665,0.00010274641372093435,7.150912145375478
0.00021329449553277754,4.067630071948666,0.00021329449553277754,7.015060423627259
0.0003321772781842741,3.6591963815964146,0.0003321772781842741,6.498312168048647
0.0005754086271606511,3.0702186264039617,0.00036076793065842636,5.420708325799049
0.0006744822040787374,2.6532806860523586,0.0006039992796348034,5.411518927213709
0.0007439149969233872,2.4472565937063275,0.0006598373164023347,5.18106974922507
0.0007997530336909185,2.423435469352892,0.000765117795452493,4.517431769122766
0.0008355009795974678,2.3352549845776442,0.0008345505882971428,4.477399058961756
0.0009431163916608599,2.1848054047683148,0.0008946118067764913,4.219305124037071
0.001048396870711018,2.0881550320797233,0.00099873576046938,4.187348742745595
0.0011580800750542056,2.041499201642625,0.001106351172532772,4.14840103013054
0.0012519442037978977,1.9238164689416482,0.0012160343768759594,4.0882605080685925
0.0013248790776118544,1.9137133382077378,0.001251782322782509,3.514734042862005
0.0014014851317658307,1.8988590419974207,0.0013728564613461017,3.354402005309341
0.0015056090854587193,1.8221098585381823,0.0014536248243266303,3.340412040817726
0.0016284487840407555,1.8126554089344225,0.0014913156652157308,3.2096483798973163
0.0017495229226043483,1.7890299347581577,0.0015851797939594229,3.174009928388699
0.0018485964995224344,1.5542360119476495,0.001675593340738402,3.082393179624705
0.002009268093174401,1.5533841363317438,0.0018330587698869641,3.0151906689303716
0.0020512384525008392,1.5125221667077227,0.0019558984684690003,3.0093939671728718
0.0021416519992798182,1.4894815622561217,0.0020325045226229767,2.9541307540876516
0.0022091108151035157,1.3633433962105328,0.002160013976800625,2.9080019327900706
0.0023179698399955337,1.2912092701782594,0.0023206855704525917,2.8771259850573343
0.002378530494759599,1.290572230126457,0.0024037624394932337,2.8556669638606427
0.002437251864167345,1.2483762136835224,0.00246248380890098,2.7818329799506123
0.002590853776404833,1.2220537185535338,0.002621679519657086,2.77202653024406
0.0026273051711064215,1.2108760270931789,0.0026762461277624995,2.637092682081714
0.00268736638958577,1.1995745475827546,0.0027968979192729945,2.632476481370523
0.002758663709731836,1.1838876439854848,0.002853124205443407,2.4571609993590413
0.0029033715039012116,1.169434700524516,0.002975963904025443,2.4242627872063633
0.0029864483729418537,1.1667166306933199,0.0030488987778393996,2.39942469669752
0.003015039025416006,1.1628765100718106,0.0032582015547328834,2.3252692324166437
0.0030712653115864182,1.15968606963096,0.0033256603705565805,2.311878705042369
0.0031185557623094914,1.1201483134241303,0.003424733947474667,2.260928810311133
0.0033604267050858345,1.1094398606639688,0.003461185342176255,2.2553463638833318
0.003476219700365957,1.1082684462083008,0.0035547991326658635,2.2191333551178993
0.0035701906921987692,1.0989948256737658,0.0036636581575578814,2.208071486175759
0.0036993748048116597,1.09077128714399,0.0037204528270927276,2.2059361312735097
0.0037818851125969786,1.0773472400281525,0.003781013481856793,2.1711186108147147
0.0038349955709508898,1.0456853284175853,0.003925721276026168,2.170534554707464
0.0038772732975734473,1.0316609986424703,0.00428313610755732,2.093077531853081
0.003946706090418097,1.0119581678732,0.004442449503626357,2.0276728666377077
0.004072622503057187,0.9961456837493475,0.004724157103218144,2.0211238018175934
0.004231818213813293,0.9840480978096398,0.0049520232898833515,1.992749790199208
0.004441120990706776,0.9719801326360247,0.005051096866801438,1.9911699879276503
0.004597727879418836,0.9654361961694,0.005104207325155348,1.990820539623194
0.004617559636407082,0.9638075847184296,0.005195988897863372,1.958058890362385
0.004713844146161899,0.95464547624909,0.005280089673298855,1.9309657236207685
0.004769782118606056,0.9429893585627911,0.005322060032625293,1.8914469240210474
0.00484787376507647,0.9291583610306517,0.005467194072906424,1.8850362111223176
0.004941487555566079,0.907544266676896,0.005572474551956582,1.882452763730014
0.005068997009743727,0.8979039870602863,0.00569998400613423,1.8290045773393837
0.005132739194435803,0.8922216068040216,0.005793954997967043,1.8134083264993892
0.0052602486486134515,0.8900546294855282,0.005877927529200901,1.798297488915493
0.005375300610381698,0.8813305787067719,0.005925217979923974,1.7878751522067555
0.005497317768986031,0.8723601521221728,0.006080285530471832,1.765455195816293
0.0055780861319665595,0.864260644675908,0.006206998319470621,1.7450519536941944
0.00573656934284484,0.8640428503042668,0.006351562145783525,1.7068937085465017
