psu_number,hh_number,hhsize,hhs_wt,ind_wt,paasche,pcep_food,pcep_nonfood,n_adults,n_children,adult_equiv,oopg,nominal_total_cons_month,food_nom_mo,x_oopg_mo,food_share_oopg,food_equiv_mo,food_mid_4555,subsistence_line_ae,subsistence_hh_ae_mo,ctp_ae_mo,ctp_rule_subsistence,oopg_sh_ctp_ae,che_oopg_ctp10_ae,over_oopg_ctp10_ae,che_oopg_ctp25_ae,over_oopg_ctp25_ae,che_oopg_ctp40_ae,over_oopg_ctp40_ae
4001,1,2,469.56171,939.12341,.9792358815863741,62810.38987292747,68079.617,1,1,1.3554029,0,21938.03220052083,10251.03125,21938.03220052083,.4672721398301453,7563.08762400237,0,8014.258409660657,10862.54946224341,11687.00095052083,0,0,0,0,0,0,0,0
4001,2,2,469.56171,939.12341,.9169373496835337,87097.04242886744,40552.656,2,0,1.6817929,0,20271.96119791667,13310.421875,20271.96119791667,.656592706795823,7914.424082221728,0,8014.258409660657,13478.32253359675,6961.539322916666,0,0,0,0,0,0,0,0
4001,3,2,469.56171,939.12341,1.021905578212535,54487.90316312316,77024.648,1,1,1.3554029,700,22502.81334635416,9280.248697916666,23202.81334635416,.3999622183477532,6846.855927288061,0,8014.258409660657,10862.54946224341,13922.5646484375,0,.0502780929861626,0,0,0,0,0,0
4001,4,3,469.56171,1408.6851,.9670999014738161,48315.61451971853,32501.965,3,0,2.2795072,0,20050.76245768229,11681.50651041667,20050.76245768229,.5825966236980175,5124.57548475503,0,8014.258409660657,18268.55942840848,8369.255947265627,0,0,0,0,0,0,0,0
4001,5,2,469.56171,939.12341,.9101883264284756,44476.36386015674,20192.643,1,1,1.3554029,0,10213.38150716146,6746.977864583333,10213.38150716146,.660601766403464,4977.839160040425,0,8014.258409660657,10862.54946224341,3466.403642578126,0,0,0,0,0,0,0,0
4001,6,4,469.56171,1878.2468,1.080307143585338,43809.28938799652,143682.42,2,2,2.2795072,0,65106.79427083334,15775.82942708333,65106.79427083334,.2423069604910746,6920.719400500047,0,8014.258409660657,18268.55942840848,49330.96484375,0,0,0,0,0,0,0,0
4001,7,4,469.56171,1878.2468,.9373434629047762,58556.93575480348,62107.777,3,1,2.5588865,2100,39619.65720052084,18295.98697916666,41719.65720052084,.4385459566752685,7149.979797407585,0,8014.258409660657,20507.57787651267,23423.67022135417,0,.0896529015374173,0,0,0,0,0,0
4001,8,4,469.56171,1878.2468,1.042596911830225,33470.10501282051,63748.523,1,3,1.9881768,0,33518.93575520833,11631.94270833333,33518.93575520833,.3470260151838474,5850.557443254509,0,8014.258409660657,15933.76282091417,21886.993046875,0,0,0,0,0,0,0,0
4001,9,5,469.56171,2347.8086,1.061899064284066,77051.07905445181,51800.391,4,1,3.0896506,1950,56322.86295572916,34091.86197916667,58272.86295572916,.5850383909413686,11034.21261862023,0,8014.258409660657,24761.25855201183,33511.60440371734,1,.0581887986175825,0,0,0,0,0,0
4001,10,5,469.56171,2347.8086,1.056492292938172,57271.1288614587,83802.477,3,2,2.8284271,0,61176.27379557292,25211.04427083333,61176.27379557292,.4121049339336806,8913.450334897459,0,8014.258409660657,22667.74548266752,38508.5283129054,1,0,0,0,0,0,0,0
4001,11,6,469.56171,2817.3701,1.051013818509638,111138.445194092,90039.367,5,1,3.5914681,0,104774.2949348958,58404.02083333334,104774.2949348958,.5574269993381884,16261.87934175662,0,8014.258409660657,28782.95338962815,75991.34154526769,1,0,0,0,0,0,0,0
