scope,denominator,threshold,headcount_var,overshoot_var,headcount,headcount_se,overshoot,overshoot_se,mpo
oopg,total,5,ch18_oopg_tot5,ch18_over_oopg_tot5,.1506227023066058,.0067415861,.013679158,.00079278229,.090817377
oopg,total,10,ch18_oopg_tot10,ch18_over_oopg_tot10,.0739960321624281,.004081958,.008397284,.00059630041,.11348289
oopg,total,15,ch18_oopg_tot15,ch18_over_oopg_tot15,.0410076002322276,.0027784235,.0056325691,.00047359042,.13735427
oopg,total,25,ch18_oopg_tot25,ch18_over_oopg_tot25,.0176489090132706,.0016377306,.0028957978,.00031593189,.16407801
oopg,total,40,ch18_oopg_tot40,ch18_over_oopg_tot40,.0079091793942835,.0010002743,.0010935433,.00017010639,.13826254
oopg,nonfood,15,ch18_oopg_nf15,ch18_over_oopg_nf15,.0973483477058658,.0049070241,.015743501,.00098612916,.16172336
oopg,nonfood,25,ch18_oopg_nf25,ch18_over_oopg_nf25,.0498121162228454,.0031766016,.0087432088,.0006698799,.17552373
oopg,nonfood,40,ch18_oopg_nf40,ch18_over_oopg_nf40,.0216099148970662,.0019531362,.0036938936,.00037926421,.17093512
