cum_hh_total,oopg_share_total,cum_hh_ctp,oopg_share_ctp
0.0,0.8922216068040216,0.0,0.9717615395393162
6.374218469207652e-05,0.8922216068040216,0.00011505196176824634,0.9717615395393162
0.00018575934329640895,0.8723601521221728,0.00023706912037257876,0.9425125318146187
0.00025786121168546014,0.8375168989099864,0.00030917098876162997,0.9405332960978735
0.0003654766237488522,0.792511505196559,0.0003729131734537065,0.936697088000074
0.00045252498559292194,0.7904157194939815,0.0004642500411077919,0.8982180118268046
0.0005127237372077555,0.7885850996726412,0.0005512984029518616,0.8886888496221712
0.000567266640905364,0.7695279696062638,0.0006285043429953915,0.8777679359980586
0.0006552213087781561,0.7533660525862769,0.0007878177390644284,0.8664872787618904
0.0007133465426980855,0.7482690326864196,0.0008954331511278204,0.8656393231166901
0.0008283985044663318,0.7438435002369173,0.0010179092518717314,0.8443649994452228
0.0009887672287558586,0.7309291672076303,0.0011781325302302633,0.8441256718525734
0.0010659731687993885,0.7103880512884818,0.0012660871981030554,0.8350850177725043
0.0011288835415692643,0.7039821985626856,0.0013332065409831506,0.8271887048322748
0.001177862913297264,0.6864023904916585,0.0014935752652726775,0.8150249011115179
0.0012909069363092394,0.6589855054143232,0.001553774016887511,0.8077504932552955
0.0013445327329910178,0.657440438719867,0.001602828141809808,0.8010583318994151
0.0014004987676144206,0.6447312750349501,0.0016573710455074163,0.7957433135924203
0.001442776494236978,0.6432873926235014,0.0019006023944837934,0.7920942432859174
0.0015190765359964819,0.6354029151612358,0.001963512767253669,0.7871505239192037
0.001586195878876577,0.6296635356517702,0.00209350909031196,0.777755782669748
0.0016278247987407224,0.629593499931769,0.0021325580778159036,0.7740871743665869
0.0017810783950715104,0.6278668817070141,0.002196893093564822,0.7666491792446603
0.001865226851152402,0.6190780139853297,0.0023513422653022183,0.766061562377963
0.0019158429822956032,0.6084787199568386,0.00243549072138311,0.7630585714580145
0.0020055015812749494,0.6024919246502146,0.0025238948683206576,0.7617421572853449
0.0020934562491477415,0.6008629601290894,0.0026572797451817573,0.7574652312346257
0.0021818603960852886,0.5975727892004902,0.002736498389497694,0.754893439075297
0.002315245272946388,0.5899901725728744,0.0028479816592542383,0.7521700729002926
0.002365999697499039,0.5858697405400488,0.0029558786530090577,0.7512378492397452
0.0024188375955129255,0.5769268290585726,0.0030376454638249614,0.7508397052845925
0.0024364321996392176,0.5749917050005058,0.003092922702978343,0.749867184807624
