scope,metric,pre_estimate,post_estimate,difference,relative_change,people_pushed,households_pushed
oopg,poverty_headcount,.2027048505094489,.23397778,.031272933,.1542781682040457,898799.81,264
oopg,poverty_gap_monthly_npr,274.6174906469732,354.315,79.69751,.2902127950531587,898799.81,264
oopg,normalized_poverty_gap,.0451995311339542,.058317013,.013117482,.2902127950531583,898799.81,264
oopg,mean_positive_gap_monthly_npr,1354.765265640114,1514.3104,159.54518,.1177659169111879,898799.81,264
oopg,mean_positive_normalized_gap,.2229819909112006,.24924167,.026259679,.1177659169111816,898799.81,264
