cum_hh_total,oopg_share_total,cum_hh_nonfood,oopg_share_nonfood
0.0,8.27829753577467,0.0,34.41269544040095
6.374218469207652e-05,8.27829753577467,0.00011505196176824634,34.41269544040095
0.00018575934329640895,6.8345439659029354,0.00023706912037257876,16.395095514995973
0.00025786121168546014,5.154486179125869,0.00030917098876162997,15.816132968221265
0.0003654766237488522,3.819544336409228,0.0003729131734537065,14.797061594910017
0.00045252498559292194,3.7713502061586333,0.0004642500411077919,8.82492106853296
0.0005127237372077555,3.7300355767336253,0.0005512984029518616,7.983825938422626
0.000567266640905364,3.3389212924952734,0.0006285043429953915,7.181159404983268
0.0006552213087781561,3.0545918779077144,0.0007878177390644284,6.48992298806177
0.0007133465426980855,2.972494964254054,0.0008954331511278204,6.4426537823152215
0.0008283985044663318,2.903863462082331,0.0010179092518717314,5.425289918304983
0.0009887672287558586,2.7164934958656666,0.0011781325302302633,5.415424604455685
0.0010659731687993885,2.4528962097351097,0.0012660871981030554,5.0637304536741725
0.0011288835415692643,2.378175214951602,0.0013332065409831506,4.786658788879692
0.001177862913297264,2.188799817600015,0.0014935752652726775,4.406133074176004
0.0012909069363092394,1.932426673578707,0.001553774016887511,4.20157381380405
0.0013445327329910178,1.9192003757333045,0.001602828141809808,4.02659905060412
0.0014004987676144206,1.814770706592246,0.0016573710455074163,3.895800561478662
0.001442776494236978,1.8033772267110602,0.0019006023944837934,3.809871625513601
0.0015190765359964819,1.7427536905354857,0.001963512767253669,3.6981557972940777
0.001586195878876577,1.7002471975314142,0.00209350909031196,3.4995546431429223
0.0016278247987407224,1.699736640193394,0.0021325580778159036,3.4264861775607725
0.0017810783950715104,1.6872104385309918,0.002196893093564822,3.285393112237925
0.001865226851152402,1.625209456829534,0.0023513422653022183,3.274628873155301
0.0019158429822956032,1.5541395856944473,0.00243549072138311,3.220452312427932
0.0020055015812749494,1.5156721636914037,0.0025238948683206576,3.197133612082732
0.0020934562491477415,1.5054051619048463,0.0026572797451817573,3.1231201822753514
0.0021818603960852886,1.4849214296748996,0.002736498389497694,3.079858149154978
