psu_number,hh_number,prov,domain,ad_4,hhsize,hhs_wt,ind_wt,pcep_mo_real,pline_mo_real,oopg,oopg_pc_mo_real,raw_post_oopg_mo_real,post_oopg_mo_real_floored,negative_raw_post_oopg,pre_poverty_multiple,post_poverty_multiple,poor_pre_oopg,poor_post_oopg,pushed_below_poverty_oopg,rank_pre_oopg,cum_population_share,paasche,pcep,pline
4377,4,3,32,3,3.0,488.07568359375,1464.22705078125,1152.2257486979167,6075.671223958333,0.0,0.0,1152.2257486979167,1152.2257486979167,False,0.189645836027848,0.189645836027848,True,True,False,1,0.005094646478349211,1.426333601694758,13826.708984375,72908.0546875
4372,5,3,32,3,5.0,626.9888305664062,3134.944091796875,1472.3069661458333,6075.671223958333,380.0,58.22410730319126,1414.082858842642,1414.082858842642,False,0.24232828141523716,0.23274512505983813,True,True,False,2,0.016002402805192734,1.3053012492616516,17667.68359375,72908.0546875
4321,7,3,31,2,4.0,751.8888549804688,3007.555419921875,1907.1183268229167,6075.671223958333,200.0,57.891611967108325,1849.2267148558085,1849.2267148558085,False,0.31389426065428516,0.30436582999483425,True,True,False,3,0.026466921692731155,0.8636829810233645,22885.419921875,72908.0546875
4145,9,2,21,2,6.0,556.9486694335938,3341.69189453125,1913.85791015625,6075.671223958333,0.0,0.0,1913.85791015625,1913.85791015625,False,0.31500353452459545,0.31500353452459545,True,True,False,4,0.03809403842515189,0.8175133047187885,22966.294921875,72908.0546875
4711,10,7,71,2,6.0,561.3067016601562,3367.84033203125,1934.8544921875,6075.671223958333,0.0,0.0,1934.8544921875,1934.8544921875,False,0.31845938018465253,0.31845938018465253,True,True,False,5,0.04981213629670171,0.9644671424436694,23218.25390625,72908.0546875
4564,1,5,51,2,1.0,937.5834350585938,937.5834350585938,1992.4602864583333,6075.671223958333,1050.0,1178.575841826573,813.8844446317603,813.8844446317603,False,0.3279407678614042,0.13395794713551173,True,True,False,6,0.05307437362733373,0.8909057548411102,23909.5234375,72908.0546875
4073,7,1,12,3,5.0,678.3462524414062,3391.731201171875,2031.8318684895833,6075.671223958333,0.0,0.0,2031.8318684895833,2031.8318684895833,False,0.33442097071964894,0.33442097071964894,True,True,False,7,0.06487559763172412,1.067943160564776,24381.982421875,72908.0546875
4399,6,3,32,3,4.0,579.3475952148438,2317.390380859375,2033.2081705729167,6075.671223958333,1200.0,293.0578962009617,1740.150274371955,1740.150274371955,False,0.3346474974740767,0.2864128439850367,True,True,False,8,0.07293874926965227,1.023688506227035,24398.498046875,72908.0546875
4688,11,6,62,3,8.0,302.91668701171875,2423.33349609375,2220.26220703125,6075.671223958333,0.0,0.0,2220.26220703125,2220.26220703125,False,0.365434883684298,0.365434883684298,True,True,False,9,0.08137052045920405,1.2462549267686964,26643.146484375,72908.0546875
4395,10,3,32,3,8.0,205.42677307128906,1643.4141845703125,2242.93896484375,6075.671223958333,0.0,0.0,2242.93896484375,2242.93896484375,False,0.3691672709344636,0.3691672709344636,True,True,False,10,0.08708863247156103,0.956458222821006,26915.267578125,72908.0546875
4688,9,6,62,3,6.0,302.91668701171875,1817.5001220703125,2247.0428059895835,6075.671223958333,0.0,0.0,2247.0428059895835,2247.0428059895835,False,0.36984272571049737,0.36984272571049737,True,True,False,11,0.09341246086372484,1.4508475874990934,26964.513671875,72908.0546875
4189,8,2,22,3,6.0,367.0284423828125,2202.170654296875,2249.8572591145835,6075.671223958333,0.0,0.0,2249.8572591145835,2249.8572591145835,False,0.3703059589930854,0.3703059589930854,True,True,False,12,0.10107471581431561,0.8740628082402189,26998.287109375,72908.0546875
4538,5,5,51,2,4.0,1503.8619384765625,6015.44775390625,2320.4632161458335,6075.671223958333,0.0,0.0,2320.4632161458335,2320.4632161458335,False,0.38192705474178684,0.38192705474178684,True,True,False,13,0.12200492585160486,0.9296422848150501,27845.55859375,72908.0546875
4573,7,5,52,3,5.0,781.5731201171875,3907.86572265625,2334.0945638020835,6075.671223958333,2000.0,382.6411613980155,1951.453402404068,1951.453402404068,False,0.38417065008356527,0.321191409223866,True,True,False,14,0.13560199355443794,1.045365842343156,28009.134765625,72908.0546875
4666,10,6,62,3,6.0,364.81036376953125,2188.8623046875,2354.1004231770835,6075.671223958333,0.0,0.0,2354.1004231770835,2354.1004231770835,False,0.38746343184175364,0.38746343184175364,True,True,False,15,0.14321794329817308,1.2704271846360669,28249.205078125,72908.0546875
4015,4,1,11,2,5.0,620.61376953125,3103.06884765625,2385.1590169270835,6075.671223958333,250.0,58.03870346887919,2327.1203134582042,2327.1203134582042,False,0.3925753927437073,0.383022752166315,True,True,False,16,0.15401479257667264,0.8614940894882394,28621.908203125,72908.0546875
4627,12,6,61,2,6.0,555.238525390625,3331.43115234375,2406.5042317708335,6075.671223958333,0.0,0.0,2406.5042317708335,2406.5042317708335,False,0.39608862018096214,0.39608862018096214,True,True,False,17,0.1656062079784678,1.2686661807154807,28878.05078125,72908.0546875
4786,9,7,72,3,6.0,408.7720031738281,2452.632080078125,2406.9208984375,6075.671223958333,0.0,0.0,2406.9208984375,2406.9208984375,False,0.39615719970926566,0.39615719970926566,True,True,False,18,0.17413992095883474,1.0130755049302218,28883.05078125,72908.0546875
4397,1,3,32,3,2.0,548.2236328125,1096.447265625,2407.7662760416665,6075.671223958333,0.0,0.0,2407.7662760416665,2407.7662760416665,False,0.39629634114286283,0.39629634114286283,True,True,False,19,0.1779549107157386,1.1582431335673071,28893.1953125,72908.0546875
4563,4,5,51,2,4.0,842.908447265625,3371.6337890625,2418.3077799479165,6075.671223958333,510.0,122.57593838359527,2295.7318415643213,2295.7318415643213,False,0.39803137642006503,0.3778564963343489,True,True,False,20,0.1896862075802279,1.0401715188261103,29019.693359375,72908.0546875
4537,5,5,51,2,5.0,626.3516235351562,3131.758056640625,2423.3092447916665,6075.671223958333,1510.0,393.0964903522841,2030.2127544393825,2030.2127544393825,False,0.39885457185961215,0.33415447933285103,True,True,False,21,0.20058287838397576,0.7682592122085712,29079.7109375,72908.0546875
4089,8,1,12,3,4.0,758.3872680664062,3033.549072265625,2437.2140299479165,6075.671223958333,0.0,0.0,2437.2140299479165,2437.2140299479165,False,0.40114317251683973,0.40114317251683973,True,True,False,22,0.21113783984959786,1.243299495502691,29246.568359375,72908.0546875
4095,3,1,12,3,3.0,578.4989013671875,1735.4967041015625,2510.5930989583335,6075.671223958333,0.0,0.0,2510.5930989583335,2510.5930989583335,False,0.41322069717305543,0.41322069717305543,True,True,False,23,0.21717634471605293,0.9410170315449445,30127.1171875,72908.0546875
